# Qlow				mt(as^2) 	        mt(as^2+asat)       mt(as^2+at^2)       mt(as^2+asat+at^2)
45.5938				126.44930782115273	126.4318023167343	126.63366187287068	126.6161605523606
46.961614000000004	126.46023179234241	126.44100383097144	126.64212562254141	126.62288519079536
48.329428			126.47063737029482	126.44975113567817	126.65008932278771	126.62917482556081
49.697242			126.48061036140741	126.45812629576074	126.657639720449	126.63511241498163
51.065056000000006	126.49009373204986	126.46606865048001	126.66472138882949	126.64063886694697
52.43287			126.49917002238843	126.47365762914758	126.67141737861526	126.64583407490605
53.800684000000004	126.50791218090296	126.48096328178312	126.67780095503318	126.65076840055141
55.168498			126.51742808798987	126.48909262651699	126.68497415202368	126.65654295238285
56.536312			126.52560443330776	126.49592624102483	126.69083671284234	126.6610513616746
57.904126000000005	126.53330262218842	126.50232459732752	126.69605487645997	126.6649601147771
59.27194000000001	126.54051141805171	126.50827571316701	126.70119925583447	126.66883547722783
60.639754			126.54769274555024	126.51423735096667	126.70613943336801	126.6725462748814
62.007568000000006	126.55477766258714	126.52013999944681	126.71100591645357	126.67622134672419
63.37538200000001	126.56140540900948	126.52562046469953	126.71543946686101	126.679499009509
64.74319600000001	126.56780023301533	126.53090174043663	126.71966351070878	126.68260142180029
66.11101000000001	126.57425484205042	126.53627550878613	126.72396972722349	126.68581922847815
67.478824			126.5801370494887	126.54110690777513	126.72772841354146	126.68852004687247
68.84663800000001	126.5858994470563	126.54584798044098	126.73139047725459	126.69115426558129
70.21445200000001	126.59177906193284	126.55073476582689	126.73519245270778	126.69395745599371
71.582266			126.5971360984063	126.5551248578532	126.73849719160955	126.69628992178158
72.95008000000001	126.60232240123314	126.55936922841349	126.74165596089456	126.6985021990436
74.31789400000001	126.60766853172356	126.56379727316776	126.74499947815337	126.70092411623432
75.685708			126.61243039332975	126.56766097709962	126.74778865820839	126.70281330818105
77.05352200000002	126.61747835644843	126.57182776842897	126.75089658114662	126.7050417106579
78.42133600000001	126.62178311934707	126.57525255559898	126.75331332652736	126.70659169804267
79.78915			126.62590142836589	126.57841138066897	126.75571400325875	126.70811777507167
81.15696400000002	126.6299204672005	126.58179669645928	126.75769020156278	126.70927332196031
82.52477800000001	126.63388916821084	126.58505409890104	126.7596078522034	126.71050338998798
83.89259200000001	126.63788245499221	126.58834798078345	126.7616465595701	126.71184392521886
85.26040600000002	126.64186291227536	126.5916451089781	126.76371449183698	126.71322702495223
86.62822000000001	126.64581438957006	126.5949294553603	126.76578328948356	126.7146267299728
87.99603400000001	126.64972853880214	126.59819200778134	126.76783968608541	126.71602964183748
89.36384800000002	126.65360075225624	126.60142729899671	126.76987645264497	126.7174278538258
90.73166200000001	126.65742850773266	126.60463196687432	126.77188953492323	126.71881650249792
92.09947600000001	126.66121046802525	126.60780387438906	126.77387648734582	126.7201923467352
93.46729000000002	126.66494611947336	126.61094178504659	126.77583601062061	126.72155334933463
94.83510400000002	126.66863541880065	126.61404497702296	126.77776742150336	126.72289813130025
96.20291800000001	126.67227868765598	126.61711317020519	126.77967052045611	126.72422587351329
97.57073200000002	126.6758764274905	126.62014631394472	126.78154535919526	126.72553603529808
98.93854600000002	126.67942937582842	126.62314462707255	126.78339225417808	126.7268284262725
100.30636000000001	126.6829383144207	126.62610843148845	126.78521162677856	126.72810296920305
101.67417400000002	126.68640412768202	126.6290381804037	126.78700400740334	126.72935976565664
103.04198800000002	126.68982771825829	126.63193439250495	126.78876999360472	126.73059899447547
104.40980200000001	126.69321002487767	126.6347976258981	126.79051020168079	126.73182090308934
105.77761600000002	126.69655201015946	126.6376285290122	126.79222531787555	126.73302583017582
107.14543000000002	126.69985460958189	126.64042770528982	126.79391598763428	126.73421409735415
108.51324400000001	126.70311879431605	126.64319584557178	126.79558292703172	126.73538611801689
109.88105800000002	126.70634547639952	126.6459335874916	126.79722677636045	126.73654225546647
111.24887200000002	126.70953557354939	126.6486415949601	126.7988482032927	126.73768291826983
112.61668600000002	126.71268999367828	126.65132054706429	126.8004478874589	126.73880853722986
113.98450000000003	126.7158096120064	126.6539710838095	126.80202644748832	126.73991950960445
115.35231400000002	126.71889528648425	126.65659386220665	126.80358452551128	126.74101626171057
116.72012800000002	126.7219478526183	126.65918951537626	126.8051227206305	126.74209918919445
118.08794200000001	126.72496810328397	126.66175866157596	126.8066416204625	126.74316868485899
119.45575600000001	126.72795683878624	126.66430191321614	126.80814180218947	126.74422515517031
120.82357000000002	126.73091483036886	126.66681988571975	126.80962383338847	126.74526899526215
122.19138400000001	126.73384278762003	126.66931312397944	126.81108821963396	126.74630054318385
123.55919800000001	126.73674146280713	126.67178223712865	126.81253551043373	126.74732020740142
124.92701200000002	126.7396115235622	126.67422774964678	126.81396618414158	126.74832831680938
126.29482600000001	126.74245365935327	126.67665021645861	126.81538074263152	126.74932523711983
127.66264000000001	126.745268487071	126.6790501244032	126.81677961331968	126.7503112603236
129.03045400000002	126.74805659741527	126.68142794260224	126.81816320769809	126.75128667701715
130.39826800000003	126.75081864888095	126.68378422076094	126.81953200606172	126.75225184926639
131.766082			126.75355519596427	126.68611939092027	126.82088639141048	126.75320704475418
133.13389600000002	126.7562668412072	126.68843395429113	126.82222679097431	126.75415258842811
134.50171000000003	126.75895410259112	126.69072832808538	126.82355356534696	126.75508872906815
135.869524			126.76161753262163	126.6930029655045	126.82486709744957	126.75601575542572
137.23733800000002	126.76425760228517	126.6952582420522	126.82616770396875	126.75693388549841
138.60515200000003	126.76687482118157	126.69749457795751	126.82745573792477	126.75784338057042
139.97296600000004	126.76946965000327	126.69971236967237	126.82873149679003	126.7587444690138
141.34078000000005	126.77204184316491	126.7019112082137	126.82999463309376	126.75963665153819
142.70859400000003	126.77459292072761	126.70409266544391	126.83124642708572	126.76052124758962
144.07640800000004	126.77712356187317	126.70625726897597	126.83248748179919	126.7613987096635
145.44422200000005	126.77963396968998	126.7084051419241	126.83371785832173	126.76226901654235
146.81203600000003	126.78212447948844	126.71053655100194	126.83493774766907	126.76313229491961
148.17985000000004	126.78459542795015	126.71265176894997	126.83614735402085	126.76398868000379
149.54766400000005	126.78704722610607	126.71475114096212	126.83734695616964	126.76483838417766
150.915478			126.78948021133118	126.7168349391708	126.83853676184462	126.76568154949034
152.28329200000002	126.79189474210713	126.71890346053718	126.83971700034712	126.7665183427029
153.651106			126.79429119456177	126.72095701920426	126.840887925212	126.76734895561361
155.01892			126.79666987437366	126.72299586555712	126.84204972325064	126.76817351767951
156.38673400000002	126.79903113908865	126.72502029809961	126.84320262922836	126.7689922056509
157.754548			126.80137530590383	126.72703058142781	126.84434684627097	126.7698051679795
159.122362			126.80370269208512	126.72902697908708	126.8454825759695	126.77061255242981
160.49017600000002	126.80601357787262	126.73100972060595	126.84660998429011	126.77141447303192
161.85799000000003	126.80830829037758	126.73297908148861	126.84772929293435	126.77221110155467
163.22580400000004	126.81058711141831	126.73493529611392	126.84884067156182	126.77300255714816
164.59361800000002	126.81285032244423	126.7368786012957	126.84994430053705	126.77378897515192
