# Qlow				mt(as^2) 	        mt(as^2+as^3)       mt(as^2+as^4)       mt(as^2+as^3+as^4)
45.5938				126.44930782115273	126.05682097431061	126.38026610844297	125.98767857390922
46.961614000000004	126.46023179234241	126.06746191801446	126.38849236289536	125.99563365434898
48.329428			126.47063737029482	126.07772209916241	126.39633105802733	126.00333842080889
49.697242			126.48061036140741	126.08766804537193	126.40385952683516	126.01085094830256
51.065056000000006	126.49009373204986	126.09722532371991	126.4110127869461	126.01808880560253
52.43287			126.49917002238843	126.1064622364026	126.41786619277727	126.02511307425299
53.800684000000004	126.50791218090296	126.11543935642617	126.42448599340068	126.0319776602907
55.168498			126.51742808798987	126.12526055282478	126.43197537477899	126.03978172282072
56.536312			126.52560443330776	126.13378912115647	126.4382123572601	126.04637984446572
57.904126000000005	126.53330262218842	126.14188344421322	126.44405408929804	126.0526261662017
59.27194000000001	126.54051141805171	126.14972120985475	126.44949097751261	126.05869359814805
60.639754			126.54769274555024	126.1571837065116	126.45496779538281	126.06446551193085
62.007568000000006	126.55477766258714	126.16475994584185	126.46041767742382	126.070413571585
63.37538200000001	126.56140540900948	126.17189745865173	126.46547518980118	126.07598706077505
64.74319600000001	126.56780023301533	126.17881709711644	126.47036112963664	126.08140327080629
66.11101000000001	126.57425484205042	126.18580891955261	126.47536505633175	126.08694907352832
67.478824			126.5801370494887	126.19223233400197	126.47985031870061	126.09197905439206
68.84663800000001	126.5858994470563	126.19853832594443	126.48426694582065	126.0969412586874
70.21445200000001	126.59177906193284	126.20496062284167	126.48884906200792	126.10206587691331
71.582266			126.5971360984063	126.21084941542719	126.49295245757048	126.10669736258865
72.95008000000001	126.60232240123314	126.21655065978258	126.49692600100846	126.11117578477051
74.31789400000001	126.60766853172356	126.22238288527465	126.5010965516409	126.1158077715395
75.685708			126.61243039332975	126.22756408886711	126.5047126592476	126.11976387968193
77.05352200000002	126.61747835644843	126.23275701615384	126.50863457933912	126.12381353782696
78.42133600000001	126.62178311934707	126.23744246826404	126.51179016275758	126.12766028063527
79.78915			126.62590142836589	126.24247786185867	126.51475600214366	126.13177853435499
81.15696400000002	126.6299204672005	126.24753455185137	126.51805476410007	126.13592588824517
82.52477800000001	126.63388916821084	126.25229226738706	126.52117041792614	126.1397936927894
83.89259200000001	126.63788245499221	126.25700658481642	126.52431306325958	126.14364151599158
85.26040600000002	126.64186291227536	126.26166913539771	126.52745927936637	126.14746197476423
86.62822000000001	126.64581438957006	126.26627527381785	126.53059700119556	126.15125045157698
87.99603400000001	126.64972853880214	126.27082243574515	126.53371922202255	126.15500395877145
89.36384800000002	126.65360075225624	126.27530926281995	126.53682152495702	126.15872049581837
90.73166200000001	126.65742850773266	126.279735262965	126.5399011856377	126.16239888210177
92.09947600000001	126.66121046802525	126.28410042806966	126.5429563583457	126.16603830152049
93.46729000000002	126.66494611947336	126.28840516126978	126.54598594224414	126.16963840481365
94.83510400000002	126.66863541880065	126.29265008069052	126.5489892327414	126.17319902591052
96.20291800000001	126.67227868765598	126.2968360125192	126.55196588310608	126.1767202340769
