# Qlow				mt(as^2) 	        mt(as^2+as^3)       mt(as^2+as^4)       mt(as^2+as^3+as^4)
153.651106			126.79429119456177	126.43255371156135	126.65694498510285	126.29547602627684
155.01892			126.79666987437366	126.43508809306753	126.65907798856375	126.29776582447543
156.38673400000002	126.79903113908865	126.43759895403643	126.66119806238031	126.30003656691385
157.754548			126.80137530590383	126.44008671948616	126.6633053966891	126.30228855190073
159.122362			126.80370269208512	126.44255180817123	126.66540019188602	126.30452207991564
160.49017600000002	126.80601357787262	126.4449946039169	126.66748261002087	126.30673742122164
161.85799000000003	126.80830829037758	126.4474155335036	126.66955286738514	126.30893488836902
163.22580400000004	126.81058711141831	126.44981497658398	126.67161113510883	126.31111475240286
164.59361800000002	126.81285032244423	126.4521933130122	126.67365759346913	126.31327729441213
165.96143200000003	126.81509817480298	126.45455088686265	126.67569239143403	126.31542275197272
167.32924600000004	126.81733097536107	126.45688809919506	126.67771573613382	126.31755143192203
168.69706000000002	126.81954894587257	126.45920526376783	126.67972775514733	126.319663551937
170.06487400000003	126.82175235667698	126.46150273921052	126.68172862980336	126.32175937991104
171.43268800000004	126.82394144856374	126.46378085543664	126.68371850949914	126.32383916013292
172.80050200000005	126.82611645502689	126.46603993458544	126.68569754396766	126.32590312630583
174.16831600000006	126.82827764365139	126.4682803259179	126.6876659175995	126.32795154601114
175.53613000000004	126.83042519173833	126.47050229075167	126.68962372487587	126.3299846023435
176.90394400000005	126.83255933716408	126.47270615043239	126.6915711275446	126.33200253672216
178.27175800000006	126.83468030149233	126.4748922076431	126.69350827410419	126.33400557511419
179.63957200000004	126.83678828188869	126.47706073743458	126.69543528472636	126.33599392533742
181.00738600000005	126.83888351438577	126.47921205087489	126.69735232634874	126.33796782570717
182.37520000000006	126.8409661523299	126.48134638037111	126.69925948454394	126.33992743931748
